State,median_household_income,poverty_rate,pct_bachelors_or_higher,pct_uninsured,unemployment_rate,Year
Alabama,52035.0,16.0,26.2,9.5,5.6,2020
Alaska,77790.0,10.3,30.0,12.6,7.2,2020
Arizona,61529.0,14.1,30.3,10.6,5.8,2020
Arkansas,49475.0,16.1,23.8,8.3,5.2,2020
California,78672.0,12.6,34.7,7.2,6.2,2020
Colorado,75231.0,9.8,41.6,7.8,4.6,2020
Connecticut,79855.0,9.8,40.0,5.1,6.0,2020
Delaware,69110.0,11.4,32.7,5.8,5.8,2020
District of Columbia,90842.0,15.5,59.8,3.7,7.1,2020
Florida,57703.0,13.3,30.5,12.7,5.4,2020
Georgia,61224.0,14.3,32.2,13.0,5.6,2020
Hawaii,83173.0,9.3,33.6,3.9,4.6,2020
Idaho,58915.0,11.9,28.7,10.4,4.2,2020
Illinois,68428.0,12.0,35.5,6.8,6.0,2020
Indiana,58235.0,12.9,27.2,8.0,4.7,2020
Iowa,61836.0,11.1,29.3,4.7,3.9,2020
Kansas,61091.0,11.4,33.9,8.7,4.1,2020
Kentucky,52238.0,16.6,25.0,5.6,5.4,2020
Louisiana,50800.0,18.6,24.9,8.7,6.6,2020
Maine,59489.0,11.1,32.5,7.6,4.0,2020
Maryland,87063.0,9.0,40.9,5.9,5.2,2020
Massachusetts,84385.0,9.8,44.5,2.7,5.1,2020
Michigan,59234.0,13.7,30.0,5.4,6.0,2020
Minnesota,73382.0,9.3,36.8,4.5,3.8,2020
Mississippi,46511.0,19.6,22.8,12.0,7.1,2020
Missouri,57290.0,13.0,29.9,9.4,4.5,2020
Montana,56539.0,12.8,33.1,8.4,4.2,2020
Nebraska,63015.0,10.4,32.5,8.1,3.4,2020
Nevada,62043.0,12.8,25.5,11.2,6.6,2020
New Hampshire,77923.0,7.4,37.6,6.0,3.8,2020
New Jersey,85245.0,9.7,40.7,7.6,5.8,2020
New Mexico,51243.0,18.6,28.1,9.5,6.6,2020
New York,71117.0,13.6,37.5,5.4,5.7,2020
North Carolina,56642.0,14.0,32.0,10.7,5.4,2020
North Dakota,65315.0,10.5,30.7,7.2,3.1,2020
Ohio,58116.0,13.6,28.9,6.2,5.3,2020
Oklahoma,53840.0,15.3,26.1,14.4,5.1,2020
Oregon,65667.0,12.4,34.4,6.6,5.5,2020
Pennsylvania,63627.0,12.0,32.3,5.6,5.4,2020
Rhode Island,70305.0,11.6,35.0,4.3,5.5,2020
South Carolina,54864.0,14.7,29.0,10.4,5.5,2020
South Dakota,59896.0,12.8,29.3,9.6,3.5,2020
Tennessee,54833.0,14.6,28.2,9.7,5.3,2020
Texas,63826.0,14.2,30.7,17.3,5.3,2020
Utah,74197.0,9.1,34.7,9.0,3.6,2020
Vermont,63477.0,10.8,39.7,4.0,3.8,2020
Virginia,76398.0,10.0,39.5,8.2,4.6,2020
Washington,77006.0,10.2,36.7,6.2,4.9,2020
West Virginia,48037.0,17.1,21.3,6.2,6.5,2020
Wisconsin,63293.0,11.0,30.8,5.5,3.6,2020
Wyoming,65304.0,10.8,28.2,11.4,4.4,2020
Puerto Rico,21058.0,43.4,26.7,6.8,15.1,2020
Alabama,53913.0,16.1,27.4,9.9,5.3,2021
Alaska,77845.0,10.5,32.8,11.4,7.0,2021
Arizona,69056.0,12.8,32.4,10.7,5.8,2021
Arkansas,52528.0,16.3,25.3,9.2,5.5,2021
California,84907.0,12.3,36.2,7.0,8.3,2021
Colorado,82254.0,9.7,44.4,8.0,5.3,2021
Connecticut,83771.0,10.1,42.1,5.2,6.7,2021
Delaware,71091.0,11.6,35.6,5.7,5.6,2021
District of Columbia,90088.0,16.5,63.0,3.7,8.2,2021
Florida,63062.0,13.1,33.2,12.1,5.6,2021
Georgia,66559.0,14.0,34.6,12.6,5.5,2021
Hawaii,84857.0,11.2,35.3,3.9,7.7,2021
Idaho,66474.0,11.0,30.7,8.8,3.3,2021
Illinois,72205.0,12.1,37.1,7.0,7.4,2021
Indiana,62743.0,12.2,28.9,7.5,4.7,2021
Iowa,65600.0,11.1,30.5,4.8,3.6,2021
Kansas,64124.0,11.7,35.4,9.2,4.4,2021
Kentucky,55573.0,16.5,27.0,5.7,5.4,2021
Louisiana,52087.0,19.6,26.4,7.6,7.6,2021
Maine,64767.0,11.5,36.0,5.7,4.9,2021
Maryland,90203.0,10.3,42.5,6.1,5.9,2021
Massachusetts,89645.0,10.4,46.6,2.5,6.6,2021
Michigan,63498.0,13.1,31.7,5.0,6.9,2021
Minnesota,77720.0,9.3,38.9,4.5,4.9,2021
Mississippi,48716.0,19.4,24.8,11.9,6.4,2021
Missouri,61847.0,12.7,31.7,9.4,4.6,2021
Montana,63249.0,11.9,34.8,8.2,4.0,2021
Nebraska,66817.0,10.8,34.4,7.1,2.7,2021
Nevada,66274.0,14.1,27.6,11.6,9.7,2021
New Hampshire,88465.0,7.2,40.2,5.1,3.6,2021
New Jersey,89296.0,10.2,43.1,7.2,8.1,2021
New Mexico,53992.0,18.4,30.1,10.0,7.8,2021
New York,74314.0,13.9,39.9,5.2,8.7,2021
North Carolina,61972.0,13.4,34.9,10.4,5.8,2021
North Dakota,66519.0,11.1,31.7,7.9,2.9,2021
Ohio,62262.0,13.4,30.7,6.5,5.4,2021
Oklahoma,55826.0,15.6,27.9,13.8,5.9,2021
Oregon,71562.0,12.2,36.3,6.1,6.4,2021
Pennsylvania,68957.0,12.1,34.5,5.5,6.4,2021
Rhode Island,74008.0,11.4,36.5,4.3,7.7,2021
South Carolina,59318.0,14.6,31.5,10.0,5.6,2021
South Dakota,66143.0,12.3,31.7,9.5,2.8,2021
Tennessee,59695.0,13.6,30.5,10.0,5.3,2021
Texas,66963.0,14.2,33.1,18.0,6.2,2021
Utah,79449.0,8.6,36.8,9.0,3.5,2021
Vermont,72431.0,10.3,44.4,3.7,4.2,2021
Virginia,80963.0,10.2,41.8,6.8,4.8,2021
Washington,84247.0,9.9,39.0,6.4,5.9,2021
West Virginia,51248.0,16.8,24.1,6.1,6.2,2021
Wisconsin,67125.0,10.8,32.5,5.4,3.5,2021
Wyoming,65204.0,11.4,29.2,12.2,3.7,2021
Alabama,59674.0,16.2,28.8,8.8,4.3,2022
Alaska,88121.0,11.0,30.6,11.0,4.6,2022
Arizona,74568.0,12.5,33.0,10.3,4.3,2022
Arkansas,55432.0,16.8,25.4,8.4,4.5,2022
California,91551.0,12.2,37.0,6.5,5.3,2022
Colorado,89302.0,9.4,45.9,7.1,3.5,2022
Connecticut,88429.0,9.8,41.9,5.2,4.7,2022
Delaware,82174.0,9.4,36.5,5.6,4.3,2022
District of Columbia,101027.0,13.3,65.4,2.9,5.1,2022
Florida,69303.0,12.7,34.3,11.2,4.0,2022
Georgia,72837.0,12.7,34.7,11.7,4.2,2022
Hawaii,92458.0,10.2,35.4,3.5,3.6,2022
Idaho,72785.0,10.7,32.3,8.2,3.0,2022
Illinois,76708.0,11.9,37.7,6.6,4.8,2022
Indiana,66785.0,12.6,29.6,7.0,3.6,2022
Iowa,69588.0,11.0,32.3,4.5,2.9,2022
Kansas,68925.0,12.0,35.6,8.6,3.6,2022
Kentucky,59341.0,16.5,27.9,5.6,4.3,2022
Louisiana,55416.0,18.6,27.1,6.9,5.4,2022
Maine,69543.0,10.8,36.1,6.6,3.3,2022
Maryland,94991.0,9.6,43.8,6.1,4.0,2022
Massachusetts,94488.0,10.4,46.6,2.4,4.1,2022
Michigan,66986.0,13.4,32.1,4.5,4.6,2022
Minnesota,82338.0,9.6,39.1,4.5,3.2,2022
Mississippi,52719.0,19.1,24.8,10.8,4.9,2022
Missouri,64811.0,13.2,32.2,8.6,3.7,2022
Montana,67631.0,12.1,34.6,8.3,3.0,2022
Nebraska,69597.0,11.2,34.7,6.7,2.3,2022
Nevada,72333.0,12.5,27.0,11.1,5.5,2022
New Hampshire,89992.0,7.2,41.3,4.9,2.5,2022
New Jersey,96346.0,9.7,43.5,6.8,5.0,2022
New Mexico,59726.0,17.6,30.5,8.2,4.8,2022
New York,79557.0,14.3,40.0,4.9,5.1,2022
North Carolina,67481.0,12.8,35.9,9.3,3.8,2022
North Dakota,71970.0,11.5,31.8,6.4,2.2,2022
Ohio,65720.0,13.4,32.0,5.9,3.7,2022
Oklahoma,59673.0,15.7,28.5,11.7,4.2,2022
Oregon,75657.0,12.1,36.3,6.0,4.3,2022
Pennsylvania,71798.0,11.8,35.1,5.3,4.3,2022
Rhode Island,81854.0,10.8,39.6,4.2,4.5,2022
South Carolina,64115.0,14.0,32.6,9.1,4.4,2022
South Dakota,69728.0,12.5,31.6,8.1,2.8,2022
Tennessee,65254.0,13.3,31.1,9.3,3.4,2022
Texas,72284.0,14.0,33.9,16.6,4.4,2022
Utah,89168.0,8.2,37.9,8.1,2.7,2022
Vermont,73991.0,10.4,44.2,3.9,2.8,2022
Virginia,85873.0,10.6,42.2,6.5,3.6,2022
Washington,91306.0,10.0,39.5,6.1,4.1,2022
West Virginia,54329.0,17.9,24.8,5.9,4.7,2022
Wisconsin,70996.0,10.7,33.2,5.2,2.8,2022
Wyoming,70042.0,11.8,29.6,11.5,3.8,2022
Puerto Rico,24112.0,41.7,29.8,5.1,9.9,2022
Alabama,62212.0,15.6,28.9,8.5,4.0,2023
Alaska,86631.0,10.4,32.2,10.4,4.8,2023
Arizona,77315.0,12.4,33.5,9.9,4.3,2023
Arkansas,58700.0,15.7,26.2,8.9,4.2,2023
California,95521.0,12.0,37.5,6.4,5.5,2023
Colorado,92911.0,9.3,46.4,6.7,3.8,2023
Connecticut,91665.0,10.3,42.9,5.7,4.6,2023
Delaware,81361.0,10.5,36.5,6.5,3.5,2023
District of Columbia,108210.0,14.0,65.9,2.7,5.3,2023
Florida,73311.0,12.3,34.9,10.7,4.1,2023
Georgia,74632.0,13.6,35.4,11.4,4.4,2023
Hawaii,95322.0,10.1,37.0,3.2,3.5,2023
Idaho,74942.0,10.1,32.1,8.9,3.6,2023
Illinois,80306.0,11.6,38.3,6.2,4.7,2023
Indiana,69477.0,12.3,30.2,6.9,3.6,2023
Iowa,71433.0,11.3,31.5,5.0,2.8,2023
Kansas,70333.0,11.2,35.8,8.4,3.3,2023
Kentucky,61118.0,16.4,27.8,5.4,4.1,2023
Louisiana,58229.0,18.9,27.0,6.9,4.9,2023
Maine,73733.0,10.4,37.0,5.9,3.2,2023
Maryland,98678.0,9.5,43.7,6.3,4.0,2023
Massachusetts,99858.0,10.4,47.8,2.6,3.9,2023
Michigan,69183.0,13.5,32.7,4.5,4.5,2023
Minnesota,85086.0,9.3,40.0,4.2,3.0,2023
Mississippi,54203.0,18.0,25.5,10.3,4.8,2023
Missouri,68545.0,12.0,33.2,7.5,3.4,2023
Montana,70804.0,11.7,34.6,8.4,2.7,2023
Nebraska,74590.0,10.5,35.3,6.1,2.7,2023
Nevada,76364.0,12.0,28.7,10.8,4.6,2023
New Hampshire,96838.0,7.2,40.7,4.7,2.6,2023
New Jersey,99781.0,9.7,43.8,7.2,4.7,2023
New Mexico,62268.0,17.8,31.6,9.1,4.8,2023
New York,82095.0,14.2,40.6,4.8,5.0,2023
North Carolina,70804.0,12.8,36.8,9.2,4.0,2023
North Dakota,76525.0,9.8,33.6,4.5,2.9,2023
Ohio,67769.0,13.3,32.0,6.1,4.0,2023
Oklahoma,62138.0,15.9,28.7,11.4,4.6,2023
Oregon,80160.0,12.2,37.7,5.5,4.1,2023
Pennsylvania,73824.0,12.0,35.3,5.4,4.2,2023
Rhode Island,84972.0,10.8,39.0,4.5,4.8,2023
South Carolina,67804.0,13.9,32.9,9.1,4.3,2023
South Dakota,71810.0,11.8,33.3,8.3,2.6,2023
Tennessee,67631.0,14.0,31.7,9.3,4.0,2023
Texas,75780.0,13.7,34.2,16.4,4.4,2023
Utah,93421.0,9.0,38.4,8.0,3.3,2023
Vermont,81211.0,9.7,43.7,3.4,2.6,2023
Virginia,89931.0,10.2,42.4,6.4,3.7,2023
Washington,94605.0,10.3,40.5,6.3,4.5,2023
West Virginia,55948.0,16.7,24.0,5.9,4.5,2023
Wisconsin,74631.0,10.7,33.8,4.9,2.8,2023
Wyoming,72415.0,11.3,30.4,10.7,3.2,2023
Puerto Rico,25621.0,39.6,30.8,5.3,9.2,2023
Alabama,66659.0,15.2,29.9,8.2,4.2,2024
Alaska,95665.0,10.2,32.8,11.0,6.0,2024
Arizona,81486.0,11.7,34.7,10.3,4.6,2024
Arkansas,62106.0,15.5,27.1,9.4,3.8,2024
California,100149.0,11.8,38.1,5.9,5.9,2024
Colorado,97113.0,9.6,47.8,7.9,4.3,2024
Connecticut,96049.0,10.2,42.6,5.8,4.9,2024
Delaware,87534.0,9.6,36.0,6.9,5.1,2024
District of Columbia,109707.0,17.3,65.5,4.5,5.6,2024
Florida,77735.0,12.0,35.8,10.9,4.6,2024
Georgia,79991.0,12.6,36.3,12.0,4.7,2024
Hawaii,100745.0,10.0,37.8,3.5,3.4,2024
Idaho,81166.0,10.5,33.0,9.2,3.7,2024
Illinois,83211.0,11.6,39.2,6.9,5.1,2024
Indiana,71959.0,12.2,30.7,7.5,4.1,2024
Iowa,75501.0,11.3,32.1,5.4,3.2,2024
Kansas,75514.0,10.9,36.0,8.5,3.7,2024
Kentucky,64526.0,15.6,27.9,6.8,4.9,2024
Louisiana,60986.0,18.7,27.8,7.7,5.2,2024
Maine,76442.0,10.6,37.1,5.5,2.7,2024
Maryland,102905.0,9.1,44.7,6.3,4.3,2024
Massachusetts,104828.0,9.7,48.3,2.8,4.1,2024
Michigan,72389.0,13.4,33.3,5.1,4.5,2024
Minnesota,87117.0,9.3,40.0,5.1,3.7,2024
Mississippi,59127.0,17.8,27.0,9.7,4.6,2024
Missouri,71589.0,12.3,33.5,7.7,3.3,2024
Montana,75340.0,10.2,36.3,8.8,3.0,2024
Nebraska,76376.0,10.9,35.4,7.1,3.4,2024
Nevada,81134.0,11.6,28.5,11.4,6.3,2024
New Hampshire,99782.0,7.2,41.5,4.5,2.8,2024
New Jersey,104294.0,9.2,44.5,7.7,5.4,2024
New Mexico,67816.0,16.4,31.8,10.1,5.3,2024
New York,85820.0,14.0,41.2,5.0,5.3,2024
North Carolina,73958.0,12.5,37.1,8.6,4.0,2024
North Dakota,77871.0,11.1,34.0,6.1,1.9,2024
Ohio,72212.0,12.7,32.4,6.7,4.0,2024
Oklahoma,66148.0,14.9,29.3,11.5,4.7,2024
Oregon,85220.0,11.8,37.8,5.2,4.9,2024
Pennsylvania,77545.0,11.6,36.4,5.8,4.3,2024
Rhode Island,83504.0,12.2,39.0,4.6,5.0,2024
South Carolina,72350.0,13.3,33.3,9.0,4.5,2024
South Dakota,76881.0,10.4,34.2,8.1,2.8,2024
Tennessee,71997.0,13.5,32.4,9.7,4.2,2024
Texas,79721.0,13.4,35.2,16.7,4.8,2024
Utah,96658.0,8.3,39.1,8.3,3.8,2024
Vermont,82730.0,9.0,45.1,4.2,2.7,2024
Virginia,92090.0,9.7,43.3,6.9,3.6,2024
Washington,99389.0,9.9,41.0,6.5,4.9,2024
West Virginia,60798.0,16.7,24.4,5.8,4.6,2024
Wisconsin,77488.0,10.3,34.6,5.3,3.1,2024
Wyoming,75532.0,10.1,32.3,10.3,3.4,2024
Puerto Rico,27213.0,37.3,29.7,5.6,8.4,2024
